country_code,population,life_expectancy,hospital_beds_per_thousand,handwashing_facilities,male_smokers,female_smokers,diabetes_prevalence,cardiovasc_death_rate,extreme_poverty,gdp_per_capita,aged_70_older,aged_65_older,median_age,population_density,stringency_index
OWID_LIC,737604900.0,,,,,,,,,,,,,,
OWID_LMC,3432097300.0,,,,,,,,,,,,,,
OWID_NAM,600323657.0,,,,,,,,,,,,,,
OWID_NIR,1896000.0,,,,,,,,,,,,,,
OWID_OCE,45038860.0,,,,,,,,,,,,,,
OWID_SAM,436816679.0,,,,,,,,,,,,,,
OWID_SCT,5466000.0,,,,,,,,,,,,,,
OWID_UMC,2525921300.0,,,,,,,,,,,,,,
OWID_WLS,3170000.0,,,,,,,,,,,,,,
OWID_WRL,7975105024.0,72.58,2.705,60.13,34.635,6.434,8.51,233.07,10.0,15469.207,5.355,8.696,30.9,58.045,
PAK,235824864.0,67.27,0.6,59.607,36.7,2.8,8.35,423.031,4.0,5034.708,2.78,4.495,23.5,255.573,96.3
PAN,4408582.0,78.51,2.3,,9.9,2.4,8.33,128.346,2.2,22267.037,5.03,7.918,29.7,55.133,93.52
PCN,47.0,,,,,,,,,,,,,,
PER,34049588.0,76.74,1.6,,,4.8,5.95,85.755,3.5,12236.706,4.455,7.151,29.1,25.129,96.3
PHL,115559008.0,71.23,1.0,78.463,40.8,7.8,7.07,370.437,,7599.188,2.661,4.803,25.2,351.873,100.0
PLW,18084.0,73.7,4.8,,22.7,7.7,15.89,,,13240.405,,,,47.237,
PNG,10142625.0,64.5,,,48.8,23.5,17.65,561.494,,3823.194,2.142,3.808,22.6,18.22,83.8
POL,39857144.0,78.73,6.62,,33.1,23.3,5.91,227.331,,27216.445,10.202,16.763,41.8,124.027,87.04
PRI,3252412.0,80.1,,,,,12.9,108.094,,35044.67,9.829,15.168,38.2,376.232,
PRK,26069416.0,72.27,13.2,,,,4.0,321.681,,,6.139,9.491,35.3,211.701,
PRT,10270857.0,82.05,3.39,,30.0,16.3,9.85,127.842,0.5,27936.896,14.924,21.502,46.2,112.371,87.96
PRY,6780745.0,74.25,1.3,79.602,21.6,5.0,8.27,199.128,1.7,8827.01,3.833,6.378,26.5,17.144,94.44
PSE,5250076.0,74.05,,,,,10.59,265.91,1.0,4449.898,1.726,3.043,20.4,778.202,96.3
PYF,306292.0,77.66,,,,,22.63,,,,4.593,7.775,32.7,77.324,
QAT,2695131.0,80.23,1.2,,26.9,0.8,16.52,176.69,,116935.6,0.617,1.307,31.9,227.322,87.96
REU,974062.0,80.48,,,,,,,,,6.841,,36.0,,
ROU,19659270.0,76.05,6.892,,37.1,22.9,9.74,370.946,5.7,23313.199,11.69,17.85,43.0,85.129,87.04
RUS,144713312.0,72.58,8.05,,58.3,23.4,6.18,431.297,0.1,24765.954,9.393,14.178,39.6,8.823,87.04
RWA,13776702.0,69.02,,4.617,21.0,4.7,4.28,191.375,56.0,1854.211,1.642,2.974,20.3,494.869,90.74
SAU,36408824.0,75.13,2.7,,25.4,1.8,17.72,259.538,,49045.411,1.845,3.295,31.9,15.322,94.44
SDN,46874200.0,65.31,0.8,23.437,,,15.67,431.388,,4466.507,2.034,3.548,19.7,23.258,87.04
SEN,17316452.0,67.94,,20.859,16.6,0.4,2.42,241.219,38.0,2470.58,1.796,3.008,18.7,82.328,77.78
SGP,5637022.0,83.62,2.4,,28.3,5.2,10.99,92.243,,85535.383,7.049,12.922,42.4,7915.731,82.41
SHN,5401.0,80.56,,,,,,,,,,,,,
SLB,724272.0,73.0,1.4,35.89,,,18.68,459.78,25.1,2205.923,2.043,3.507,20.8,21.841,86.66
SLE,8605723.0,54.7,,19.275,41.3,8.8,2.42,325.721,52.2,1390.3,1.285,2.538,19.1,104.7,88.89
SLV,6336393.0,73.32,1.3,90.65,18.8,2.5,8.87,167.295,2.2,7292.458,5.417,8.273,27.6,307.811,100.0
SMR,33690.0,84.97,3.8,,,,5.64,,,56861.47,,,,556.667,92.59
SOM,17597508.0,57.4,0.9,9.831,,,6.05,365.769,,,1.496,2.731,16.8,23.5,73.61
SPM,5885.0,81.07,,,,,,,,,,,,,
SRB,6871547.0,76.0,5.609,97.719,40.2,37.7,10.08,439.415,,14048.881,,17.366,41.2,80.291,100.0
SSD,10913172.0,57.85,,,,,10.43,280.775,,1569.888,2.032,3.441,19.2,,86.11
STP,227393.0,70.39,2.9,41.34,,,2.42,270.113,32.3,3052.714,2.162,2.886,18.7,212.841,
SUR,618046.0,71.68,3.1,67.779,42.9,7.4,12.54,258.314,,13767.119,4.229,6.933,29.6,3.612,100.0
SVK,5643455.0,77.54,5.82,,37.7,23.1,7.29,287.959,0.7,30155.152,9.167,15.07,41.2,113.128,87.04
SVN,2119843.0,81.32,4.5,,25.0,20.1,7.25,153.493,,31400.84,12.93,19.062,44.5,102.619,89.81
SWE,10549349.0,82.8,2.22,,18.9,18.8,4.79,133.982,0.5,46949.283,13.433,19.985,41.0,24.718,71.12
SWZ,1201680.0,60.19,2.1,24.097,16.5,1.7,3.94,333.436,,7738.975,1.845,3.163,21.5,79.492,89.81
SXM,44192.0,78.95,,,,,,,,36327.232,,,,1209.088,
SYC,107135.0,73.4,3.6,,35.7,7.1,10.55,242.648,1.1,26382.287,5.586,8.606,36.2,208.354,93.52
SYR,22125242.0,72.7,1.5,70.598,,,,376.264,,,2.577,,21.7,,87.04
TCA,45726.0,80.22,,,,,,,,,,,,37.312,
TCD,17723312.0,54.24,,5.818,,,6.1,280.995,38.4,1768.153,1.446,2.486,16.7,11.833,88.89
TGO,8848700.0,61.04,0.7,10.475,14.2,0.9,6.15,280.033,49.2,1429.813,1.525,2.839,19.4,143.366,73.15
THA,71697024.0,77.15,2.1,90.67,38.8,1.9,7.04,109.861,0.1,16277.671,6.89,11.373,40.1,135.132,76.85
TJK,9952789.0,71.1,4.8,72.704,,,7.11,427.698,4.8,2896.913,2.155,3.466,23.3,64.281,69.44
TKL,1893.0,81.86,,,,,,,,,,,,,
TKM,6430777.0,68.19,7.4,100.0,,,7.11,536.783,,16389.023,2.541,4.277,26.9,12.253,
TLS,1341298.0,69.5,5.9,28.178,78.1,6.3,6.86,335.346,30.3,6570.102,1.897,3.556,18.0,87.176,87.04
TON,106867.0,70.91,2.6,,44.4,11.8,15.42,227.49,,5425.621,4.032,5.82,22.3,150.028,96.3
TTO,1531043.0,73.51,3.0,89.443,,,10.97,228.467,,28763.071,5.819,10.014,36.2,266.886,92.59
TUN,12356116.0,76.7,2.3,78.687,65.8,1.1,8.52,318.991,2.0,10849.297,5.075,8.001,32.7,74.228,90.74
TUR,85341248.0,77.69,2.81,,41.1,14.1,12.13,171.285,0.2,25129.341,5.061,8.153,31.6,104.914,87.04
TUV,11335.0,67.57,,,,,27.25,,3.3,3575.104,,,,373.067,
TWN,23893396.0,80.46,,,,,,103.957,,,8.353,,42.2,,76.85
TZA,65497752.0,65.46,0.7,47.953,26.7,3.3,5.75,217.288,49.1,2683.304,1.874,3.108,17.7,64.699,52.78
UGA,47249588.0,63.37,0.5,21.222,16.7,3.4,2.5,213.333,41.6,1697.707,1.308,2.168,16.4,213.759,93.52
UKR,39701744.0,72.06,8.8,,47.4,13.5,7.11,539.849,0.1,7894.393,11.133,16.462,41.4,77.39,88.89
URY,3422796.0,77.91,2.8,,19.9,14.0,6.93,160.708,0.1,20551.409,10.361,14.655,35.6,19.751,75.93
USA,338289856.0,78.86,2.77,,24.6,19.1,10.79,151.089,1.2,54225.446,9.732,15.413,38.3,35.608,75.46
UZB,34627648.0,71.72,4.0,,24.7,1.3,7.57,724.417,,6253.104,2.873,4.469,28.2,76.134,93.52
VAT,808.0,75.12,,,,,,,,,,,,,
VCT,103959.0,72.53,2.6,,,,11.62,252.675,,10727.146,4.832,7.724,31.8,281.787,
VEN,28301700.0,72.06,0.8,,,,6.47,204.85,,16745.022,3.915,6.614,29.0,36.253,97.22
VGB,31332.0,79.07,,,,,13.67,,,,,,,207.973,
VIR,99479.0,80.58,,,,,12.26,273.67,,,10.799,18.601,42.2,306.48,
VNM,98186856.0,75.4,2.6,85.847,45.9,1.0,6.0,245.465,2.0,6171.884,4.718,7.15,32.6,308.127,96.3
